"city","population","country","cca2","lat","lng","slug"
"Yaroslavl",613355,"Russia","RU",57.6299,39.8737,
"Tomsk",611949,"Russia","RU",56.4977,84.9744,
"Vladivostok",609863,"Russia","RU",43.1056,131.874,
"Leipzig",609135,"Germany","DE",51.3396,12.3713,
"Makhachkala",602853,"Russia","RU",42.9764,47.5024,
"Malaga",595139,"Spain","ES",36.7202,-4.42034,
"Kryvyi Rih",594834,"Ukraine","UA",47.9097,33.3804,
"Dresden",594326,"Germany","DE",51.0509,13.7383,
"Toulon",592764,"France","FR",43.1244,5.92836,
"Dortmund",590432,"Germany","DE",51.5149,7.466,
"Catania",588820,"Italy","IT",37.4922,15.0704,
"Essen",580594,"Germany","DE",51.4566,7.01228,
"Basel",578727,"Switzerland","CH",47.5584,7.57327,
"Khabarovsk Vtoroy",578303,"Russia","RU",48.4378,135.133,
"Gomel",575827,"Belarus","BY",52.4345,30.9754,
"Utrecht",575526,"Netherlands","NL",52.0908,5.12222,
"Leicester",575352,"United Kingdom","GB",52.6386,-1.13169,
"Goeteborg",572799,"Sweden","SE",57.7072,11.9668,
"Kemerovo",570586,"Russia","RU",55.3333,86.0833,
"Orenburg",570039,"Russia","RU",51.7727,55.0988,
"Balashikha",569163,"Russia","RU",55.8094,37.9581,
"Bremen",568991,"Germany","DE",53.0752,8.80777,
"Edinburgh",563534,"United Kingdom","GB",55.9521,-3.19648,
"Pristina",550000,"Kosovo","XK",42.6727,21.1669,
"Novokuznetsk",546951,"Russia","RU",53.7557,87.1099,
"Grenoble",543623,"France","FR",45.1716,5.72239,
"Vilnius",541517,"Lithuania","LT",54.6892,25.2798,
"Hannover",538777,"Germany","DE",52.3705,9.73322,
"Tirana",535702,"Albania","AL",41.3275,19.8189,
"Astrakhan",534778,"Russia","RU",46.3497,48.0408,
"Duisburg",528993,"Germany","DE",51.4325,6.76516,
"Bournemouth",526845,"United Kingdom","GB",50.7205,-1.8795,
"Penza",520546,"Russia","RU",53.2007,45.0046,
"Kirov",520243,"Russia","RU",58.5966,49.6601,
"Kirov",520243,"Russia","RU",54.0669,34.2995,
"Ryazan'",520173,"Russia","RU",54.6269,39.6916,
"Poznan",518274,"Poland","PL",52.4069,16.9299,
"Murcia",517240,"Spain","ES",37.987,-1.13004,
"Cheboksary",517136,"Russia","RU",56.1322,47.2519,
"Mykolayiv",510840,"Ukraine","UA",46.9659,31.9974,
"Naberezhnyye Chelny",509870,"Russia","RU",55.7254,52.4112,
"Kalininskiy",504641,"Russia","RU",59.9967,30.3899,
"Lipetsk",502842,"Russia","RU",52.6031,39.5708,
"Nuernberg",499237,"Germany","DE",49.4542,11.0775,
"Brescia",496260,"Italy","IT",45.5356,10.2147,
"Cardiff",495378,"United Kingdom","GB",51.48,-3.18,
"Kaliningrad",495031,"Russia","RU",54.7065,20.511,
"Como",492616,"Italy","IT",45.8082,9.0832,
"Strasbourg",489811,"France","FR",48.5839,7.74553,
"Montpellier",486923,"France","FR",43.6109,3.87723,
"Palma",485878,"Spain","ES",39.5694,2.65024,
"Chisinau",484352,"Moldova","MD",47.0056,28.8575,
"Avignon",483655,"France","FR",43.9483,4.80892,
"Sochi",481033,"Russia","RU",43.5992,39.7257,
"Gent",479034,"Belgium","BE",51.05,3.71667,
"Cagliari",478929,"Italy","IT",39.2305,9.11917,
"Rouen",478713,"France","FR",49.4431,1.09932,
"Mykolaiv",476414,"Ukraine","UA",49.5237,23.9852,
"Kursk",475607,"Russia","RU",51.7373,36.1874,
"Lausanne",469802,"Switzerland","CH",46.516,6.63282,
"Latina",467352,"Italy","IT",41.4661,12.9043,
"Gdansk",465553,"Poland","PL",54.3521,18.6464,
"Tula",462035,"Russia","RU",54.1961,37.6182,
"Taranto",461729,"Italy","IT",40.4644,17.2471,
"Antwerpen",459805,"Belgium","BE",51.2199,4.40346,
"Tallinn",457657,"Estonia","EE",59.437,24.7535,
"Leeds",455123,"United Kingdom","GB",53.7965,-1.54785,
"Coventry",454584,"United Kingdom","GB",52.4066,-1.51217,
"Ulan-Ude",451894,"Russia","RU",51.8272,107.606,
"Bern",448150,"Switzerland","CH",46.9481,7.44744,
"Bratislava",443679,"Slovakia","SK",48.1482,17.1067,
"Caserta",433012,"Italy","IT",41.0726,14.3323,
"Tver",427338,"Russia","RU",56.8584,35.9006,
"Mariupol",425923,"Ukraine","UA",47.0951,37.5413,
