"city","population","country","cca2","lat","lng","slug"
"Ipswich",178835,"United Kingdom","GB",52.0592,1.15545,
"Bielsko-Biala",176515,"Poland","PL",49.8224,19.0469,
"Yuzhno-Sakhalinsk",176484,"Russia","RU",46.9541,142.736,
"Almere Stad",176432,"Netherlands","NL",52.3703,5.21413,
"Split",176314,"Croatia","HR",43.5089,16.4391,
"Turku",175945,"Finland","FI",60.4515,22.2687,
"Wigan",175405,"United Kingdom","GB",53.543,-2.63706,
"Kramators'k",173700,"Ukraine","UA",48.723,37.5563,
"Croydon",173314,"United Kingdom","GB",51.3833,-0.1,
"Miskolc",172637,"Hungary","HU",48.1,20.7833,
"Walsall",172141,"United Kingdom","GB",52.5853,-1.98396,
"Herne",172108,"Germany","DE",51.5388,7.22572,
"Lyublino",172000,"Russia","RU",55.6774,37.7601,
"Mansfield",171958,"United Kingdom","GB",53.1333,-1.2,
"Olsztyn",171803,"Poland","PL",53.7799,20.4942,
"Prizren",171464,"Kosovo","XK",42.2139,20.7397,
"Bacau",171396,"Romania","RO",46.5672,26.9138,
"Oxford",171380,"United Kingdom","GB",51.7522,-1.25596,
"Muelheim",171000,"Germany","DE",51.4322,6.87967,
"Albacete",169716,"Spain","ES",38.9942,-1.85643,
"Reggio Calabria",169140,"Italy","IT",38.1105,15.6613,
"Arad",169065,"Romania","RO",46.1833,21.3167,
"Baranovichi",168772,"Belarus","BY",53.1327,26.0139,
"Angers",168279,"France","FR",47.4738,-0.54774,
"Horta-Guinardo",168092,"Spain","ES",41.4185,2.1677,
"Patra",168034,"Greece","GR",38.2444,21.7344,
"Alcorcon",167967,"Spain","ES",40.3458,-3.82487,
"Berezniki",167748,"Russia","RU",59.4091,56.8204,
"Volgodonsk",167731,"Russia","RU",47.5136,42.1514,
"Breda",167673,"Netherlands","NL",51.5866,4.77596,
"Pitesti",167669,"Romania","RO",44.85,24.8667,
"Miass",167500,"Russia","RU",55.045,60.1083,
"Abakan",167289,"Russia","RU",53.7156,91.4292,
"Neukoelln",167248,"Germany","DE",52.4772,13.4313,
"Getafe",167164,"Spain","ES",40.3057,-3.73295,
"Novocherkassk",166974,"Russia","RU",47.421,40.0919,
"Osnabrueck",166462,"Germany","DE",52.2726,8.0498,
"Nou Barris",166310,"Spain","ES",41.4416,2.17727,
